b,c,w,q,seed,num_rounds,opponent_strategy,swap_mode,memory,model,n_swaps,cooperation_rate,opp_cooperation_rate,parse_failures,total_payoff_raw,c_over_b,direct_reciprocity_favored,indirect_reciprocity_favored
4.0,4.0,0.5,0.0,0,20,random,same,,qwen3-8b-base,12,0.55,0.4,0,68.0,1.0,False,False
4.0,4.0,0.5,0.0,1,20,random,same,,qwen3-8b-base,6,0.4,0.6,0,96.0,1.0,False,False
4.0,4.0,0.5,0.0,2,20,random,same,,qwen3-8b-base,9,0.2,0.4,0,96.0,1.0,False,False
4.0,4.0,0.5,0.0,3,20,random,same,,qwen3-8b-base,10,0.85,0.4,0,44.0,1.0,False,False
4.0,4.0,1.0,0.0,0,20,random,same,,qwen3-8b-base,0,0.1,0.4,0,104.0,1.0,False,False
4.0,4.0,1.0,0.0,1,20,random,same,,qwen3-8b-base,0,0.1,0.6,0,120.0,1.0,False,False
4.0,4.0,1.0,0.0,2,20,random,same,,qwen3-8b-base,0,0.5,0.4,0,72.0,1.0,False,False
4.0,4.0,1.0,0.0,3,20,random,same,,qwen3-8b-base,0,0.15,0.4,0,100.0,1.0,False,False
4.0,4.0,0.5,1.0,0,20,random,same,,qwen3-8b-base,10,0.25,0.25,0,80.0,1.0,False,False
4.0,4.0,0.5,1.0,1,20,random,same,,qwen3-8b-base,12,0.5,0.6,0,88.0,1.0,False,False
4.0,4.0,0.5,1.0,2,20,random,same,,qwen3-8b-base,9,0.1,0.35,0,100.0,1.0,False,False
4.0,4.0,0.5,1.0,3,20,random,same,,qwen3-8b-base,8,0.7,0.45,0,60.0,1.0,False,False
4.0,4.0,1.0,1.0,0,20,random,same,,qwen3-8b-base,0,0.05,0.35,0,104.0,1.0,False,False
4.0,4.0,1.0,1.0,1,20,random,same,,qwen3-8b-base,0,0.4,0.4,0,80.0,1.0,False,False
4.0,4.0,1.0,1.0,2,20,random,same,,qwen3-8b-base,0,0.35,0.35,0,80.0,1.0,False,False
4.0,4.0,1.0,1.0,3,20,random,same,,qwen3-8b-base,0,0.4,0.3,0,72.0,1.0,False,False
