b,c,w,q,seed,num_rounds,opponent_strategy,swap_mode,memory,model,n_swaps,cooperation_rate,opp_cooperation_rate,parse_failures,total_payoff_raw,c_over_b,direct_reciprocity_favored,indirect_reciprocity_favored
4.0,5.0,0.5,0.0,0,20,random,same,,qwen3-8b-base,12,0.0,0.4,0,132.0,1.25,False,False
4.0,5.0,0.5,0.0,1,20,random,same,,qwen3-8b-base,6,0.0,0.6,0,148.0,1.25,False,False
4.0,5.0,0.5,0.0,2,20,random,same,,qwen3-8b-base,9,0.0,0.4,0,132.0,1.25,False,False
4.0,5.0,0.5,0.0,3,20,random,same,,qwen3-8b-base,10,0.0,0.4,0,132.0,1.25,False,False
4.0,5.0,1.0,0.0,0,20,random,same,,qwen3-8b-base,0,0.0,0.4,0,132.0,1.25,False,False
4.0,5.0,1.0,0.0,1,20,random,same,,qwen3-8b-base,0,0.0,0.6,0,148.0,1.25,False,False
4.0,5.0,1.0,0.0,2,20,random,same,,qwen3-8b-base,0,0.0,0.4,0,132.0,1.25,False,False
4.0,5.0,1.0,0.0,3,20,random,same,,qwen3-8b-base,0,0.0,0.4,0,132.0,1.25,False,False
4.0,5.0,0.5,1.0,0,20,random,same,,qwen3-8b-base,10,0.0,0.25,0,120.0,1.25,False,False
4.0,5.0,0.5,1.0,1,20,random,same,,qwen3-8b-base,12,0.0,0.6,0,148.0,1.25,False,False
4.0,5.0,0.5,1.0,2,20,random,same,,qwen3-8b-base,9,0.0,0.35,0,128.0,1.25,False,False
4.0,5.0,0.5,1.0,3,20,random,same,,qwen3-8b-base,8,0.0,0.45,0,136.0,1.25,False,False
4.0,5.0,1.0,1.0,0,20,random,same,,qwen3-8b-base,0,0.35,0.35,0,93.0,1.25,False,False
4.0,5.0,1.0,1.0,1,20,random,same,,qwen3-8b-base,0,0.0,0.4,0,132.0,1.25,False,False
4.0,5.0,1.0,1.0,2,20,random,same,,qwen3-8b-base,0,0.0,0.35,0,128.0,1.25,False,False
4.0,5.0,1.0,1.0,3,20,random,same,,qwen3-8b-base,0,0.0,0.3,0,124.0,1.25,False,False
